Category: Conduit Fittings
Items: 244

Category | Name | Size
Conduit Fittings | 4" IMC 90-degree elbow | 4"
Conduit Fittings | 1/2" IMC connector | 1/2"
Conduit Fittings | 3/4" IMC connector | 3/4"
Conduit Fittings | 1" IMC connector | 1"
Conduit Fittings | 1-1/4" IMC connector | 1-1/4"
Conduit Fittings | 1-1/2" IMC connector | 1-1/2"
Conduit Fittings | 2" IMC connector | 2"
Conduit Fittings | 2-1/2" IMC connector | 2-1/2"
Conduit Fittings | 3" IMC connector | 3"
Conduit Fittings | 4" IMC connector | 4"
Conduit Fittings | 1/2" IMC coupling | 1/2"
Conduit Fittings | 3/4" IMC coupling | 3/4"
Conduit Fittings | 1" IMC coupling | 1"
Conduit Fittings | 1-1/4" IMC coupling | 1-1/4"
Conduit Fittings | 1-1/2" IMC coupling | 1-1/2"
Conduit Fittings | 2" IMC coupling | 2"
Conduit Fittings | 2-1/2" IMC coupling | 2-1/2"
Conduit Fittings | 3" IMC coupling | 3"
Conduit Fittings | 4" IMC coupling | 4"
Conduit Fittings | 1/2" IMC LB conduit body | 1/2"
Conduit Fittings | 3/4" IMC LB conduit body | 3/4"
Conduit Fittings | 1" IMC LB conduit body | 1"
Conduit Fittings | 1-1/4" IMC LB conduit body | 1-1/4"
Conduit Fittings | 1-1/2" IMC LB conduit body | 1-1/2"
Conduit Fittings | 2" IMC LB conduit body | 2"
Conduit Fittings | 2-1/2" IMC LB conduit body | 2-1/2"
Conduit Fittings | 3" IMC LB conduit body | 3"
Conduit Fittings | 4" IMC LB conduit body | 4"
Conduit Fittings | 1/2" liquidtight flexible conduit connector | 1/2"
Conduit Fittings | 3/4" liquidtight flexible conduit connector | 3/4"
Conduit Fittings | 1" liquidtight flexible conduit connector | 1"
Conduit Fittings | 1-1/4" liquidtight flexible conduit connector | 1-1/4"
Conduit Fittings | 1/2" liquidtight flexible conduit coupling | 1/2"
Conduit Fittings | 3/4" liquidtight flexible conduit coupling | 3/4"
Conduit Fittings | 1" liquidtight flexible conduit coupling | 1"
Conduit Fittings | 1-1/4" liquidtight flexible conduit coupling | 1-1/4"
Conduit Fittings | 1/2" flexible metal conduit connector | 1/2"
Conduit Fittings | 3/4" flexible metal conduit connector | 3/4"
Conduit Fittings | 1" flexible metal conduit connector | 1"
Conduit Fittings | 1-1/4" flexible metal conduit connector | 1-1/4"
Conduit Fittings | 1/2" flexible metal conduit coupling | 1/2"
Conduit Fittings | 3/4" flexible metal conduit coupling | 3/4"
Conduit Fittings | 1" flexible metal conduit coupling | 1"
Conduit Fittings | 1-1/4" flexible metal conduit coupling | 1-1/4"
Conduit Fittings | AC/MC snap connector | -
Conduit Fittings | Chase nipple, 4" | 4"
Conduit Fittings | Conduit body, 3-1/2" LB | 3-1/2"
Conduit Fittings | Conduit body, 4" LB | 4"
Conduit Fittings | 1/2" conduit bushing | 1/2"
Conduit Fittings | 3/4" conduit bushing | 3/4"
Conduit Fittings | 1" conduit bushing | 1"
Conduit Fittings | 1-1/4" conduit bushing | 1-1/4"
Conduit Fittings | 1-1/2" conduit bushing | 1-1/2"
Conduit Fittings | 2" conduit bushing | 2"
Conduit Fittings | 2-1/2" conduit bushing | 2-1/2"
Conduit Fittings | 3" conduit bushing | 3"
Conduit Fittings | 4" conduit bushing | 4"
Conduit Fittings | 1/2" conduit locknut | 1/2"
Conduit Fittings | 3/4" conduit locknut | 3/4"
Conduit Fittings | 1" conduit locknut | 1"
Conduit Fittings | 1-1/4" conduit locknut | 1-1/4"
Conduit Fittings | 1-1/2" conduit locknut | 1-1/2"
Conduit Fittings | 2" conduit locknut | 2"
Conduit Fittings | 2-1/2" conduit locknut | 2-1/2"
Conduit Fittings | 3" conduit locknut | 3"
Conduit Fittings | 4" conduit locknut | 4"
Conduit Fittings | Duplex NM connector | -
Conduit Fittings | MC cable connector, 1/2 in | 1/2 in
Conduit Fittings | MC cable connector, 3/8 in | 3/8 in
Conduit Fittings | 1" metal weatherhead | 1"
Conduit Fittings | 1-1/4" metal weatherhead | 1-1/4"
Conduit Fittings | 1-1/2" metal weatherhead | 1-1/2"
Conduit Fittings | 2" metal weatherhead | 2"
Conduit Fittings | 2-1/2" metal weatherhead | 2-1/2"
Conduit Fittings | 3" metal weatherhead | 3"
Conduit Fittings | 4" metal weatherhead | 4"
Conduit Fittings | 1" PVC weatherhead | 1"
Conduit Fittings | 1-1/4" PVC weatherhead | 1-1/4"
Conduit Fittings | 1-1/2" PVC weatherhead | 1-1/2"
Conduit Fittings | 2" PVC weatherhead | 2"
Conduit Fittings | 2-1/2" PVC weatherhead | 2-1/2"
Conduit Fittings | 3" PVC weatherhead | 3"
Conduit Fittings | 4" PVC weatherhead | 4"
Conduit Fittings | Reducing washer set | -
Conduit Fittings | 4" rigid coupling | 4"
Conduit Fittings | Romex connector, 1/2 in | 1/2 in
Conduit Fittings | Romex connector, 3/4 in | 3/4 in
Conduit Fittings | Snap-in NM connector | -
Conduit Fittings | Two-screw NM connector | -
