Catalog #,Description,UOM,List Price,Net Price
SKU-101078,#18 fixture wire,EA,$46.53,$45.66
SKU-101085,8-3 SER CU,FT,$0.72/FT,$0.33/FT
SKU-101092,6-3 SER CU,FT,$0.85/FT,$0.46/FT
SKU-101099,4-3 SER CU,FT,$0.98/FT,$0.59/FT
SKU-101106,2-3 SER CU,FT,$1.11/FT,$0.72/FT
SKU-101113,1-3 SER CU,FT,$1.24/FT,$0.85/FT
SKU-101120,1/0-3 SER AL,EA,$48.27,$47.40

SKU-101127,2/0-3 SER AL,EA,$48.56,$47.69
SKU-101134,3/0-3 SER AL,EA,$48.85,$47.98
SKU-101141,4/0-3 SER AL,EA,$49.14,$48.27
SKU-101148,4/0-4/0-2/0 SER AL,EA,$49.43,$48.56
SKU-101155,4/0-4/0-4/0-2/0 SER AL,EA,$49.72,$48.85
SKU-101162,250-250-250 SER AL,EA,$50.01,$49.14
SKU-101169,EMT strap,EA,$50.30,$49.43
SKU-101176,Strut channel nut,EA,$50.59,$49.72
SKU-101183,Strut angle bracket,EA,$50.88,$50.01
SKU-101190,Strut post base,EA,$51.17,$50.30
SKU-101197,Strut end cap,EA,$51.46,$50.59
SKU-101204,Single-gang box,EA,$51.75,$50.88
SKU-101211,Single-gang metal box,EA,$52.04,$51.17
SKU-101218,Double-gang box,EA,$52.33,$51.46
SKU-101225,Double-gang metal box,EA,$52.62,$51.75
SKU-101232,Triple-gang box,EA,$52.91,$52.04
SKU-101239,Triple-gang metal box,EA,$53.20,$52.33
SKU-101246,Fan-rated ceiling box,EA,$53.49,$52.62
SKU-101253,Handy box,EA,$53.78,$52.91
SKU-101260,Floor box,EA,$54.07,$53.20
SKU-101267,4x4 pull box,EA,$54.36,$53.49
SKU-101274,6x6 pull box,EA,$54.65,$53.78
SKU-101281,8x8 pull box,EA,$54.94,$54.07
SKU-101288,12x12 pull box,EA,$55.23,$54.36
SKU-101295,Duplex receptacle,EA,$55.52,$54.65
SKU-101302,20A duplex receptacle,EA,$55.81,$54.94
SKU-101309,GFCI receptacle,EA,$56.10,$55.23
SKU-101316,AFCI receptacle,EA,$56.39,$55.52
SKU-101323,Twist-lock receptacle,EA,$56.68,$55.81
SKU-101330,50A range receptacle,EA,$56.97,$56.10
SKU-101337,30A dryer receptacle,EA,$57.26,$56.39
SKU-101344,USB combo receptacle,EA,$57.55,$56.68
SKU-101351,Switch/receptacle combo device,EA,$57.84,$56.97
SKU-101358,Single-pole switch,EA,$58.13,$57.26
SKU-101365,3-way switch,EA,$58.42,$57.55
SKU-101372,4-way switch,EA,$58.71,$57.84
SKU-101379,Dimmer,EA,$59.00,$58.13
SKU-101386,Smart switch,EA,$59.29,$58.42
